waktu,,,,roll,pitch,,,,,count
11:27.7,Client 2 data received: roll = 67.05, pitch = -0.72,, 67.05,-0.72,,,,,
11:28.6,Client 2 data received: roll = 67.57, pitch = -1.03,, 67.57,-1.03,,,,,
11:29.7,Client 2 data received: roll = 68.66, pitch = -2.83,, 68.66,-2.83,,,,,
11:30.6,Client 2 data received: roll = 69.05, pitch = -3.81,, 69.05,-3.81,,,,,
11:31.6,Client 2 data received: roll = 69.40, pitch = -3.35,, 69.40,-3.35,,,,,ya
11:32.7,Client 2 data received: roll = 68.48, pitch = -3.49,, 68.48,-3.49,,,,,
11:33.7,Client 2 data received: roll = 68.70, pitch = -2.78,, 68.70,-2.78,,,,,ya
11:34.7,Client 2 data received: roll = 69.93, pitch = -3.51,, 69.93,-3.51,,,,,
11:35.7,Client 2 data received: roll = 69.01, pitch = -3.37,, 69.01,-3.37,,,,,
11:36.7,Client 2 data received: roll = 69.82, pitch = -4.30,, 69.82,-4.30,,,,,ya
11:37.7,Client 2 data received: roll = 69.41, pitch = -3.10,, 69.41,-3.10,,,,,
11:38.7,Client 2 data received: roll = 69.37, pitch = -3.06,, 69.37,-3.06,,,,,
11:39.7,Client 2 data received: roll = 69.93, pitch = -4.00,, 69.93,-4.00,,,,,ya
11:40.7,Client 2 data received: roll = 69.66, pitch = -3.71,, 69.66,-3.71,,,,,
11:41.7,Client 2 data received: roll = 69.93, pitch = -2.17,, 69.93,-2.17,,,,,
11:42.7,Client 2 data received: roll = 70.27, pitch = -2.99,, 70.27,-2.99,,,,,ya
11:43.7,Client 2 data received: roll = 69.81, pitch = -3.84,, 69.81,-3.84,,,,,
11:44.7,Client 2 data received: roll = 69.01, pitch = -3.40,, 69.01,-3.40,,,,,
11:45.7,Client 2 data received: roll = 67.76, pitch = -3.04,, 67.76,-3.04,,,,,ya
11:46.7,Client 2 data received: roll = 68.88, pitch = -4.12,, 68.88,-4.12,,,,,
11:47.7,Client 2 data received: roll = 68.68, pitch = -4.41,, 68.68,-4.41,,,,,
11:48.7,Client 2 data received: roll = 69.69, pitch = -4.05,, 69.69,-4.05,,,,,ya
11:49.7,Client 2 data received: roll = 69.09, pitch = -2.91,, 69.09,-2.91,,,,,
11:50.7,Client 2 data received: roll = 69.01, pitch = -2.76,, 69.01,-2.76,,,,,
11:51.7,Client 2 data received: roll = 69.37, pitch = -3.49,, 69.37,-3.49,,,,,ya
11:52.7,Client 2 data received: roll = 69.12, pitch = -2.90,, 69.12,-2.90,,,,,
11:53.7,Client 2 data received: roll = 69.21, pitch = -3.35,, 69.21,-3.35,,,,,
11:54.7,Client 2 data received: roll = 70.21, pitch = -2.71,, 70.21,-2.71,,,,,ya
11:55.7,Client 2 data received: roll = 68.61, pitch = -3.05,, 68.61,-3.05,,,,,
11:56.7,Client 2 data received: roll = 69.13, pitch = -3.30,, 69.13,-3.30,,,,,
11:57.7,Client 2 data received: roll = 68.00, pitch = -2.73,, 68.00,-2.73,,,,,ya
11:58.8,Client 2 data received: roll = 69.46, pitch = -3.71,, 69.46,-3.71,,,,,
11:59.7,Client 2 data received: roll = 70.92, pitch = -3.95,, 70.92,-3.95,,,,,
12:00.7,Client 2 data received: roll = 70.69, pitch = -3.20,, 70.69,-3.20,,,,,ya
12:01.7,Client 2 data received: roll = 69.48, pitch = -3.73,, 69.48,-3.73,,,,,
12:02.7,Client 2 data received: roll = 69.89, pitch = -3.26,, 69.89,-3.26,,,,,ya
12:03.8,Client 2 data received: roll = 69.80, pitch = -3.70,, 69.80,-3.70,,,,,
12:05.8,Client 2 data received: roll = 66.87, pitch = -3.45,, 66.87,-3.45,,,,,ya
12:06.8,Client 2 data received: roll = 69.04, pitch = -2.74,, 69.04,-2.74,,,,,
12:07.8,Client 2 data received: roll = 99.57, pitch = 5.57,, 99.57, 5.57,,,,,tidak
12:08.8,Client 2 data received: roll = 96.60, pitch = 5.69,, 96.60, 5.69,,,,,
12:09.8,Client 2 data received: roll = 58.23, pitch = 5.34,, 58.23, 5.34,,,,,
12:10.8,Client 2 data received: roll = 62.26, pitch = -0.12,, 62.26,-0.12,,,,,
12:11.8,Client 2 data received: roll = 65.02, pitch = 0.10,, 65.02, 0.10,,,,,ya
12:12.8,Client 2 data received: roll = 64.52, pitch = -0.35,, 64.52,-0.35,,,,,
12:13.8,Client 2 data received: roll = 64.43, pitch = -0.70,, 64.43,-0.70,,,,,
12:14.8,Client 2 data received: roll = 63.00, pitch = -1.81,, 63.00,-1.81,,,,,
12:15.8,Client 2 data received: roll = 64.96, pitch = -0.20,, 64.96,-0.20,,,,,ya
12:16.8,Client 2 data received: roll = 64.19, pitch = -1.88,, 64.19,-1.88,,,,,
12:17.8,Client 2 data received: roll = 62.56, pitch = -2.19,, 62.56,-2.19,,,,,ya
12:18.8,Client 2 data received: roll = 63.96, pitch = -1.63,, 63.96,-1.63,,,,,
12:19.8,Client 2 data received: roll = 63.90, pitch = -1.40,, 63.90,-1.40,,,,,
12:20.8,Client 2 data received: roll = 64.16, pitch = -1.11,, 64.16,-1.11,,,,,ya
12:21.8,Client 2 data received: roll = 64.85, pitch = -2.94,, 64.85,-2.94,,,,,
12:22.8,Client 2 data received: roll = 63.79, pitch = -2.33,, 63.79,-2.33,,,,,ya
12:23.8,Client 2 data received: roll = 65.05, pitch = -2.06,, 65.05,-2.06,,,,,
12:24.8,Client 2 data received: roll = 64.85, pitch = -1.43,, 64.85,-1.43,,,,,
12:26.8,Client 2 data received: roll = 64.46, pitch = -1.65,, 64.46,-1.65,,,,,ya
