waktu,,,,roll,count
44:28.2,Client 2 data received: roll = 98.02, pitch = -0.16,, 98.02,
44:29.3,Client 2 data received: roll = 97.01, pitch = -1.13,, 97.01,
44:30.2,Client 2 data received: roll = 99.28, pitch = -2.59,, 99.28,
44:31.2,Client 2 data received: roll = 93.97, pitch = -1.89,, 93.97,
44:32.3,Client 2 data received: roll = 92.56, pitch = -0.93,, 92.56,tidak
44:33.3,Client 2 data received: roll = 95.15, pitch = -2.27,, 95.15,
44:34.3,Client 2 data received: roll = 90.60, pitch = -1.89,, 90.60,
44:35.3,Client 2 data received: roll = 99.43, pitch = -1.24,, 99.43,ya
44:36.3,Client 2 data received: roll = 98.73, pitch = -0.52,, 98.73,
44:37.3,Client 2 data received: roll = 98.20, pitch = -0.59,, 98.20,
44:38.3,Client 2 data received: roll = 98.34, pitch = -1.31,, 98.34,ya
44:39.3,Client 2 data received: roll = 99.80, pitch = -0.21,, 99.80,ya
44:40.3,Client 2 data received: roll = 98.63, pitch = -1.04,, 98.63,
44:41.3,Client 2 data received: roll = 100.07, pitch = -1.27,, 100.07,ya
44:42.3,Client 2 data received: roll = 98.87, pitch = -1.18,, 98.87,
44:43.3,Client 2 data received: roll = 99.07, pitch = -1.03,, 99.07,ya
44:44.3,Client 2 data received: roll = 99.79, pitch = -1.27,, 99.79,
44:45.3,Client 2 data received: roll = 99.61, pitch = -0.75,, 99.61,ya
44:46.3,Client 2 data received: roll = 100.17, pitch = -1.97,, 100.17,ya
44:47.3,Client 2 data received: roll = 100.21, pitch = -1.30,, 100.21,
44:48.3,Client 2 data received: roll = 100.06, pitch = -1.01,, 100.06,
44:49.3,Client 2 data received: roll = 100.73, pitch = -1.21,, 100.73,
44:50.3,Client 2 data received: roll = 100.78, pitch = -1.73,, 100.78,
44:51.3,Client 2 data received: roll = 102.12, pitch = -0.21,, 102.12,ya
44:52.3,Client 2 data received: roll = 101.34, pitch = -1.58,, 101.34,
44:53.3,Client 2 data received: roll = 96.47, pitch = 0.39,, 96.47,
44:54.3,Client 2 data received: roll = 77.88, pitch = -7.53,, 77.88,
44:55.3,Client 2 data received: roll = 72.12, pitch = -6.45,, 72.12,tidak
44:56.4,Client 2 data received: roll = 75.31, pitch = -7.53,, 75.31,
44:57.3,Client 2 data received: roll = 92.50, pitch = -1.51,, 92.50,
44:58.4,Client 2 data received: roll = 92.32, pitch = -1.63,, 92.32,
44:59.3,Client 2 data received: roll = 95.27, pitch = -1.84,, 95.27,
45:00.3,Client 2 data received: roll = 94.41, pitch = -0.55,, 94.41,tidak
45:01.3,Client 2 data received: roll = 94.95, pitch = -1.21,, 94.95,
45:02.3,Client 2 data received: roll = 93.81, pitch = 0.27,, 93.81,
45:03.3,Client 2 data received: roll = 97.37, pitch = -0.93,, 97.37,ya
45:04.4,Client 2 data received: roll = 98.41, pitch = -1.94,, 98.41,
45:05.4,Client 2 data received: roll = 97.40, pitch = -2.42,, 97.40,
45:06.4,Client 2 data received: roll = 98.29, pitch = -1.70,, 98.29,ya
45:07.4,Client 2 data received: roll = 98.37, pitch = -2.66,, 98.37,
45:08.4,Client 2 data received: roll = 98.26, pitch = -2.31,, 98.26,
45:09.4,Client 2 data received: roll = 99.34, pitch = -2.63,, 99.34,
45:10.4,Client 2 data received: roll = 98.63, pitch = -2.18,, 98.63,
45:12.4,Client 2 data received: roll = 98.02, pitch = -1.65,, 98.02,ya
45:13.4,Client 2 data received: roll = 98.56, pitch = -2.30,, 98.56,
45:14.4,Client 2 data received: roll = 99.00, pitch = -2.37,, 99.00,
45:15.4,Client 2 data received: roll = 99.84, pitch = -2.54,, 99.84,
45:16.4,Client 2 data received: roll = 98.38, pitch = -1.31,, 98.38,
45:17.4,Client 2 data received: roll = 97.97, pitch = -1.91,, 97.97,
45:18.4,Client 2 data received: roll = 98.38, pitch = -1.92,, 98.38,
45:19.4,Client 2 data received: roll = 99.02, pitch = -1.65,, 99.02,
45:20.4,Client 2 data received: roll = 99.38, pitch = -1.33,, 99.38,ya
45:21.4,Client 2 data received: roll = 100.36, pitch = -2.53,, 100.36,
45:22.4,Client 2 data received: roll = 99.66, pitch = -2.07,, 99.66,
45:23.4,Client 2 data received: roll = 99.95, pitch = -2.29,, 99.95,
45:24.4,Client 2 data received: roll = 99.29, pitch = -1.61,, 99.29,
45:25.4,Client 2 data received: roll = 99.33, pitch = -2.30,, 99.33,
45:26.4,Client 2 data received: roll = 98.63, pitch = -2.08,, 98.63,
45:27.5,Client 2 data received: roll = 98.71, pitch = -1.94,, 98.71,
